Adjustment_Type,Day,Country,Video_ID,Channel_ID,Asset_ID,Asset Label,Asset_Channel_ID,Asset_Type,Custom_ID,ISRC,ISWC,HFA_Song_Code,Content_Type,Policy,Claim_Type,Claim_Origin,Music_Claim_Type,Composition_Right_Type,Ownership_Percentage,Owned_Views,YouTube_Revenue_Split___Auction,YouTube_Revenue_Split___Reserved,YouTube_Revenue_Split___Partner_Sold_YouTube_Served,YouTube_Revenue_Split___Partner_Sold_Partner_Served,YouTube_Revenue_Split,Partner_Revenue___Auction,Partner_Revenue___Reserved,Partner_Revenue___Partner_Sold_YouTube_Served,Partner_Revenue___Partner_Sold_Partner_Served,Partner_Revenue
None,20220527,IN,rHWV0yYOlCY,UCnZSONPuyae9M9O2zco-Spg,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,1,0.000202,0,0,0,0.000202,2.00E-06,0,0,0,2.00E-06
None,20220514,IN,rHWV0yYOlCY,UCnZSONPuyae9M9O2zco-Spg,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220512,IN,sN_JKp6Z8-8,UC342rWhR2pgnvB-Ml2RlXVA,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220505,IN,tkSm9AXEubI,UCLsZHXq1HdNhKuKR8GYx_lA,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220530,IN,tkSm9AXEubI,UCLsZHXq1HdNhKuKR8GYx_lA,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,1,0,0,0,0,0,0,0,0,0,0
None,20220524,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,1,0,0,0,0,0,0,0,0,0,0
None,20220519,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220531,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,1,0,0,0,0,0,0,0,0,0,0
None,20220523,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220507,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220521,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,2,0,0,0,0,0,0,0,0,0,0
None,20220523,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,1,0,0,0,0,0,0,0,0,0,0
None,20220506,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,3,0,0,0,0,0,0,0,0,0,0
None,20220522,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,3,0,0,0,0,0,0,0,0,0,0
None,20220510,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220508,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,4,0,0,0,0,0,0,0,0,0,0
None,20220509,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,1,0,0,0,0,0,0,0,0,0,0
None,20220512,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,2,0,0,0,0,0,0,0,0,0,0
None,20220510,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,1,0,0,0,0,0,0,0,0,0,0
None,20220518,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,5,0,0,0,0,0,0,0,0,0,0
None,20220507,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,1,0,0,0,0,0,0,0,0,0,0
None,20220521,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,2,0,0,0,0,0,0,0,0,0,0
None,20220525,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220504,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,3,0,0,0,0,0,0,0,0,0,0
None,20220505,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,2,0,0,0,0,0,0,0,0,0,0
None,20220511,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,3,0,0,0,0,0,0,0,0,0,0
None,20220515,IN,vCv4KZLjGLI,UCBCFivYDUwxKsmebsZ_GRWQ,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,1,0,0,0,0,0,0,0,0,0,0
None,20220514,IN,x9E20_nswYM,UCmR44bXOrNpcSeeiHDdTcQg,A948489142167895,AVM,,Composition,A985079804589306,,,,UGC,track,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220518,IN,FM3Q0Aj-xg0,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,22,0.002448,0,0,0,0.002448,2.60E-05,0,0,0,2.60E-05
None,20220502,IN,FM3Q0Aj-xg0,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,17,0.004955,0,0,0,0.004955,4.70E-05,0,0,0,4.70E-05
None,20220531,IN,FM3Q0Aj-xg0,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,12,0.001197,0,0,0,0.001197,1.30E-05,0,0,0,1.30E-05
None,20220513,IN,FM3Q0Aj-xg0,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,20,0.002713,0,0,0,0.002713,2.90E-05,0,0,0,2.90E-05
None,20220512,IN,FM3Q0Aj-xg0,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,25,0.00277,0,0,0,0.00277,2.80E-05,0,0,0,2.80E-05
None,20220501,IN,FM3Q0Aj-xg0,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,25,0.007457,0,0,0,0.007457,6.90E-05,0,0,0,6.90E-05
None,20220522,IN,FM3Q0Aj-xg0,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,39,0.004044,0,0,0,0.004044,4.20E-05,0,0,0,4.20E-05
None,20220508,IN,FM3Q0Aj-xg0,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,23,0.002542,0,0,0,0.002542,2.60E-05,0,0,0,2.60E-05
None,20220512,IN,FM3Q0Aj-xg0,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,25,0.00277,0,0,0,0.00277,2.80E-05,0,0,0,2.80E-05
None,20220524,IN,FM3Q0Aj-xg0,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,22,0.001461,0,0,0,0.001461,1.80E-05,0,0,0,1.80E-05
None,20220501,IN,FM3Q0Aj-xg0,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,25,0.007457,0,0,0,0.007457,6.90E-05,0,0,0,6.90E-05
None,20220529,IN,FM3Q0Aj-xg0,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,33,0.00564,0,0,0,0.00564,5.40E-05,0,0,0,5.40E-05
None,20220529,IN,FM3Q0Aj-xg0,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,33,0.00564,0,0,0,0.00564,5.40E-05,0,0,0,5.40E-05
None,20220505,IN,FM3Q0Aj-xg0,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,20,0.007412,0,0,0,0.007412,7.10E-05,0,0,0,7.10E-05
None,20220518,IN,FM3Q0Aj-xg0,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,22,0.002448,0,0,0,0.002448,2.60E-05,0,0,0,2.60E-05
None,20220508,IN,FM3Q0Aj-xg0,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,23,0.002542,0,0,0,0.002542,2.60E-05,0,0,0,2.60E-05
None,20220516,IN,b5ko5Kxa87I,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,1,0,0,0,0,0,0,0,0,0,0
None,20220515,IN,b5ko5Kxa87I,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,2,0,0,0,0,0,0,0,0,0,0
None,20220504,IN,b5ko5Kxa87I,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,7,0,0,0,0,0,0,0,0,0,0
None,20220516,IN,b5ko5Kxa87I,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220523,IN,b5ko5Kxa87I,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220506,IN,b5ko5Kxa87I,UCuhpFrpyPy4HG4_5ofsyg9w,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,2,0.00047,0,0,0,0.00047,5.00E-06,0,0,0,5.00E-06
None,20220522,IN,gQjGoPNvGzw,UCx3_XvRUOrCFHYpNV7IFDLw,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220510,IN,gQjGoPNvGzw,UCx3_XvRUOrCFHYpNV7IFDLw,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,1,0,0,0,0,0,0,0,0,0,0
None,20220521,IN,gQjGoPNvGzw,UCx3_XvRUOrCFHYpNV7IFDLw,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,1,0,0,0,0,0,0,0,0,0,0
None,20220520,IN,gQjGoPNvGzw,UCx3_XvRUOrCFHYpNV7IFDLw,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220521,IN,gQjGoPNvGzw,UCx3_XvRUOrCFHYpNV7IFDLw,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220522,IN,kTZJJawjgts,UCa6LZQAQAstROEIb6q5rIbQ,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220506,IN,ujEvx9ABQug,UCuCtv6_Kba3_H12GgtYRu3A,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220528,IN,ujEvx9ABQug,UCuCtv6_Kba3_H12GgtYRu3A,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,1,0,0,0,0,0,0,0,0,0,0
None,20220510,IN,ujEvx9ABQug,UCuCtv6_Kba3_H12GgtYRu3A,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,1,0,0,0,0,0,0,0,0,0,0
None,20220526,IN,ujEvx9ABQug,UCuCtv6_Kba3_H12GgtYRu3A,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220526,IN,ujEvx9ABQug,UCuCtv6_Kba3_H12GgtYRu3A,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,1,0,0,0,0,0,0,0,0,0,0
None,20220506,IN,ujEvx9ABQug,UCuCtv6_Kba3_H12GgtYRu3A,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,1,0,0,0,0,0,0,0,0,0,0
None,20220519,IN,ujEvx9ABQug,UCuCtv6_Kba3_H12GgtYRu3A,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220514,IN,ujEvx9ABQug,UCuCtv6_Kba3_H12GgtYRu3A,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220528,IN,ujEvx9ABQug,UCuCtv6_Kba3_H12GgtYRu3A,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220513,IN,vkI-vQjpEJE,UCuCtv6_Kba3_H12GgtYRu3A,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,3,0,0,0,0,0,0,0,0,0,0
None,20220531,IN,vkI-vQjpEJE,UCuCtv6_Kba3_H12GgtYRu3A,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220506,IN,vkI-vQjpEJE,UCuCtv6_Kba3_H12GgtYRu3A,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220520,IN,vkI-vQjpEJE,UCuCtv6_Kba3_H12GgtYRu3A,A573709688849351,AVM,,Composition,A985774067035538,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,2,0,0,0,0,0,0,0,0,0,0
None,20220513,IN,X_WtP1FjdQk,UC50wEjalyxr_D4e36ziFkOw,A362681755539536,MMARIHA,,Composition,A727111808647600,,,,UGC,monetize,Audio,Unknown,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220523,IN,X_mgBgGrb5s,UCa0JtGl1h7Z8P_b49U7ZdFA,A362681755539536,MMARIHA,,Composition,A727111808647600,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,12,0,0,0,0,0,0,0,0,0,0
None,20220526,IN,X_mgBgGrb5s,UCa0JtGl1h7Z8P_b49U7ZdFA,A362681755539536,MMARIHA,,Composition,A727111808647600,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,1,0,0,0,0,0,0,0,0,0,0
None,20220524,IN,X_mgBgGrb5s,UCa0JtGl1h7Z8P_b49U7ZdFA,A362681755539536,MMARIHA,,Composition,A727111808647600,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,3,0,0,0,0,0,0,0,0,0,0
None,20220528,IN,X_mgBgGrb5s,UCa0JtGl1h7Z8P_b49U7ZdFA,A362681755539536,MMARIHA,,Composition,A727111808647600,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,3,0,0,0,0,0,0,0,0,0,0
None,20220523,IN,X_mgBgGrb5s,UCa0JtGl1h7Z8P_b49U7ZdFA,A362681755539536,MMARIHA,,Composition,A727111808647600,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,12,0,0,0,0,0,0,0,0,0,0
None,20220525,IN,X_mgBgGrb5s,UCa0JtGl1h7Z8P_b49U7ZdFA,A362681755539536,MMARIHA,,Composition,A727111808647600,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,3,0,0,0,0,0,0,0,0,0,0
None,20220522,IN,X_mgBgGrb5s,UCa0JtGl1h7Z8P_b49U7ZdFA,A362681755539536,MMARIHA,,Composition,A727111808647600,,,,UGC,monetize,Audio,Audio Match,Embedded,Mechanical,100,4,0,0,0,0,0,0,0,0,0,0
None,20220531,IN,XdzGESjIIM0,UCWLf15msrnEObPH5F5Fl_lA,A362681755539536,MMARIHA,,Composition,A727111808647600,,,,UGC,monetize,Audio,Unknown,Embedded,Mechanical,100,1,0,0,0,0,0,0,0,0,0,0
None,20220528,IN,Xh1XMOj1rU0,UCZ6mZBuyWYFnWhZtv0eUNbA,A362681755539536,MMARIHA,,Composition,A727111808647600,,,,UGC,monetize,Audio,Unknown,Embedded,Performance,100,1,0,0,0,0,0,0,0,0,0,0
None,20220530,IN,XoHbvGMGljg,UCxsah26WGioAZNNjQhemPIQ,A362681755539536,MMARIHA,,Composition,A727111808647600,,,,UGC,monetize,Audio,Unknown,Embedded,Performance,100,8,0,0,0,0,0,0,0,0,0,0
None,20220517,IN,XoHbvGMGljg,UCxsah26WGioAZNNjQhemPIQ,A362681755539536,MMARIHA,,Composition,A727111808647600,,,,UGC,monetize,Audio,Unknown,Embedded,Performance,100,1,0,0,0,0,0,0,0,0,0,0
None,20220530,IN,XqyAK1lXaqs,UCiSwmbu9NPJtGuRwbBOVErQ,A362681755539536,MMARIHA,,Composition,A727111808647600,,,,UGC,monetize,Audio,Unknown,Embedded,Performance,100,1,0,0,0,0,0,0,0,0,0,0
None,20220520,IN,Y4O1gkKWQNg,UC5CRB03d4H1dMyYWF1DA5zw,A362681755539536,MMARIHA,,Composition,A727111808647600,,,,UGC,monetize,Audio,Audio Match,Embedded,Performance,100,686,0.137521,0,0,0,0.137521,0.001279,0,0,0,0.001279
